ocel_id;ocel_time
arrive_Silo3_tr38_Pcp35;2024-05-03 00:10:49
arrive_Silo3_tr7_Pcp35;2024-05-03 00:12:05
arrive_Silo4_tr17_Pcp88;2024-05-03 10:04:31
arrive_Silo4_tr6_Pcp88;2024-05-03 10:10:24
arrive_Silo18_tr13_Pcp89;2024-05-04 06:04:51
arrive_Silo18_tr3_Pcp89;2024-05-04 06:09:12
arrive_Silo11_tr34_Pcp338;2024-05-04 07:03:32
arrive_Silo11_tr50_Pcp338;2024-05-04 07:26:47
arrive_Silo11_tr9_Pcp415;2024-05-06 04:59:03
arrive_Silo11_tr39_Pcp169;2024-05-06 05:00:35
arrive_Silo11_tr11_Pcp228;2024-05-06 05:01:34
arrive_Silo11_tr21_Pcp228;2024-05-06 05:01:53
arrive_Silo11_tr44_Pcp169;2024-05-06 05:06:09
arrive_Silo11_tr26_Pcp415;2024-05-06 05:10:24
arrive_Silo11_tr33_Pcp146;2024-05-06 05:15:45
arrive_Silo11_tr45_Pcp146;2024-05-06 05:16:09
arrive_Silo11_tr38_Pcp69;2024-05-06 05:17:42
arrive_Silo11_tr8_Pcp234;2024-05-06 05:19:16
arrive_Silo7_tr6_Pcp119;2024-05-06 05:21:00
arrive_Silo11_tr5_Pcp245;2024-05-06 05:21:01
arrive_Silo11_tr29_Pcp69;2024-05-06 05:21:46
arrive_Silo11_tr27_Pcp190;2024-05-06 05:23:32
arrive_Silo11_tr23_Pcp468;2024-05-06 05:23:57
arrive_Silo11_tr46_Pcp190;2024-05-06 05:24:03
arrive_Silo11_tr40_Pcp245;2024-05-06 05:25:42
arrive_Silo7_tr4_Pcp287;2024-05-06 05:27:33
arrive_Silo7_tr31_Pcp105;2024-05-06 05:28:22
arrive_Silo11_tr15_Pcp234;2024-05-06 05:29:43
arrive_Silo7_tr30_Pcp128;2024-05-06 05:29:53
arrive_Silo7_tr25_Pcp110;2024-05-06 05:29:55
arrive_Silo7_tr37_Pcp81;2024-05-06 05:31:54
arrive_Silo7_tr18_Pcp110;2024-05-06 05:32:09
arrive_Silo7_tr16_Pcp440;2024-05-06 05:33:42
arrive_Silo7_tr32_Pcp287;2024-05-06 05:33:55
arrive_Silo7_tr7_Pcp258;2024-05-06 05:35:47
arrive_Silo7_tr49_Pcp258;2024-05-06 05:37:05
arrive_Silo7_tr19_Pcp119;2024-05-06 05:37:47
arrive_Silo7_tr1_Pcp404;2024-05-06 05:39:20
arrive_Silo7_tr42_Pcp440;2024-05-06 05:43:27
arrive_Silo7_tr14_Pcp404;2024-05-06 05:43:28
arrive_Silo7_tr24_Pcp82;2024-05-06 05:44:35
arrive_Silo7_tr17_Pcp81;2024-05-06 05:46:19
arrive_Silo7_tr28_Pcp105;2024-05-06 05:56:10
arrive_Silo7_tr20_Pcp82;2024-05-06 05:57:26
arrive_Silo8_tr47_Pcp438;2024-05-06 12:11:46
arrive_Silo8_tr48_Pcp121;2024-05-06 12:14:09
arrive_Silo8_tr34_Pcp121;2024-05-06 12:17:45
arrive_Silo8_tr13_Pcp438;2024-05-06 12:21:23
arrive_Silo8_tr50_Pcp459;2024-05-06 12:24:30
arrive_Silo8_tr2_Pcp14;2024-05-06 12:27:33
arrive_Silo8_tr41_Pcp459;2024-05-06 12:30:21
arrive_Silo8_tr12_Pcp432;2024-05-06 12:31:31
arrive_Silo8_tr22_Pcp14;2024-05-06 12:33:01
arrive_Silo8_tr36_Pcp432;2024-05-06 12:33:23
arrive_Silo8_tr3_Pcp219;2024-05-06 12:34:56
arrive_Silo17_tr10_Pcp271;2024-05-08 05:14:27
arrive_Silo15_tr43_Pcp99;2024-05-08 05:26:42
arrive_Silo17_tr35_Pcp434;2024-05-08 05:38:34
arrive_Silo17_tr21_Pcp421;2024-05-08 05:47:09
arrive_Silo4_tr44_Pcp223;2024-05-08 05:48:11
arrive_Silo15_tr11_Pcp99;2024-05-08 05:57:59
arrive_Silo8_tr4_Pcp219;2024-05-08 06:09:57
arrive_Silo17_tr5_Pcp194;2024-05-08 06:12:56
arrive_Silo4_tr30_Pcp497;2024-05-08 06:17:03
arrive_Silo5_tr33_Pcp354;2024-05-08 06:19:38
arrive_Silo5_tr32_Pcp487;2024-05-08 06:20:22
arrive_Silo15_tr6_Pcp363;2024-05-08 06:22:58
arrive_Silo17_tr23_Pcp434;2024-05-08 06:23:51
arrive_Silo20_tr26_Pcp209;2024-05-08 06:26:40
arrive_Silo15_tr40_Pcp482;2024-05-08 06:27:25
arrive_Silo4_tr15_Pcp208;2024-05-08 06:28:33
arrive_Silo5_tr19_Pcp354;2024-05-08 06:31:12
arrive_Silo15_tr49_Pcp213;2024-05-08 06:33:27
arrive_Silo4_tr28_Pcp223;2024-05-08 06:35:05
