ocel_id;ocel_time
assign_tr7_Pcp35;2024-05-02 23:55:44
assign_tr38_Pcp35;2024-05-02 23:57:49
assign_tr17_Pcp88;2024-05-03 09:47:57
assign_tr6_Pcp88;2024-05-03 09:48:34
assign_tr13_Pcp89;2024-05-04 05:54:53
assign_tr3_Pcp89;2024-05-04 05:57:19
assign_tr34_Pcp338;2024-05-04 06:48:42
assign_tr50_Pcp338;2024-05-04 06:51:01
assign_tr29_Pcp69;2024-05-06 04:39:48
assign_tr38_Pcp69;2024-05-06 04:40:15
assign_tr26_Pcp415;2024-05-06 04:44:36
assign_tr9_Pcp415;2024-05-06 04:44:53
assign_tr11_Pcp228;2024-05-06 04:46:27
assign_tr21_Pcp228;2024-05-06 04:47:31
assign_tr39_Pcp169;2024-05-06 04:49:18
assign_tr44_Pcp169;2024-05-06 04:49:27
assign_tr10_Pcp385;2024-05-06 04:49:55
assign_tr35_Pcp385;2024-05-06 04:51:11
assign_tr23_Pcp468;2024-05-06 04:54:24
assign_tr27_Pcp190;2024-05-06 04:55:02
assign_tr46_Pcp190;2024-05-06 04:55:39
assign_tr43_Pcp468;2024-05-06 04:56:02
assign_tr45_Pcp146;2024-05-06 05:00:08
assign_tr33_Pcp146;2024-05-06 05:00:13
assign_tr15_Pcp234;2024-05-06 05:05:13
assign_tr8_Pcp234;2024-05-06 05:05:29
assign_tr5_Pcp245;2024-05-06 05:05:56
assign_tr40_Pcp245;2024-05-06 05:06:37
assign_tr6_Pcp119;2024-05-06 05:06:41
assign_tr18_Pcp110;2024-05-06 05:08:34
assign_tr19_Pcp119;2024-05-06 05:09:19
assign_tr25_Pcp110;2024-05-06 05:09:19
assign_tr37_Pcp81;2024-05-06 05:10:36
assign_tr17_Pcp81;2024-05-06 05:12:01
assign_tr32_Pcp287;2024-05-06 05:12:32
assign_tr30_Pcp128;2024-05-06 05:12:35
assign_tr4_Pcp287;2024-05-06 05:13:31
assign_tr49_Pcp258;2024-05-06 05:17:27
assign_tr7_Pcp258;2024-05-06 05:18:42
assign_tr31_Pcp105;2024-05-06 05:18:56
assign_tr14_Pcp404;2024-05-06 05:19:57
assign_tr28_Pcp105;2024-05-06 05:20:00
assign_tr1_Pcp404;2024-05-06 05:21:55
assign_tr16_Pcp440;2024-05-06 05:23:11
assign_tr42_Pcp440;2024-05-06 05:23:11
assign_tr20_Pcp82;2024-05-06 05:24:23
assign_tr24_Pcp82;2024-05-06 05:24:44
assign_tr13_Pcp438;2024-05-06 12:00:48
assign_tr47_Pcp438;2024-05-06 12:00:52
assign_tr48_Pcp121;2024-05-06 12:02:36
assign_tr12_Pcp432;2024-05-06 12:02:39
assign_tr34_Pcp121;2024-05-06 12:02:40
assign_tr22_Pcp14;2024-05-06 12:04:55
assign_tr2_Pcp14;2024-05-06 12:05:21
assign_tr36_Pcp432;2024-05-06 12:06:03
assign_tr50_Pcp459;2024-05-06 12:07:17
assign_tr41_Pcp459;2024-05-06 12:07:18
assign_tr3_Pcp219;2024-05-06 12:08:10
assign_tr10_Pcp271;2024-05-08 05:05:12
assign_tr43_Pcp99;2024-05-08 05:07:32
assign_tr35_Pcp434;2024-05-08 05:10:01
assign_tr11_Pcp99;2024-05-08 05:27:29
assign_tr44_Pcp223;2024-05-08 05:32:25
assign_tr21_Pcp421;2024-05-08 05:33:19
assign_tr4_Pcp219;2024-05-08 05:51:36
assign_tr33_Pcp354;2024-05-08 05:51:58
assign_tr5_Pcp194;2024-05-08 05:55:31
assign_tr32_Pcp487;2024-05-08 06:01:23
assign_tr40_Pcp482;2024-05-08 06:02:51
assign_tr30_Pcp497;2024-05-08 06:06:59
assign_tr6_Pcp363;2024-05-08 06:08:43
assign_tr26_Pcp209;2024-05-08 06:09:19
assign_tr19_Pcp354;2024-05-08 06:09:34
assign_tr23_Pcp434;2024-05-08 06:11:14
assign_tr15_Pcp208;2024-05-08 06:13:28
assign_tr37_Pcp38;2024-05-08 06:13:33
assign_tr38_Pcp421;2024-05-08 06:15:24
assign_tr39_Pcp248;2024-05-08 06:17:54
assign_tr28_Pcp223;2024-05-08 06:18:23
assign_tr49_Pcp213;2024-05-08 06:18:56
assign_tr16_Pcp70;2024-05-08 06:32:04
assign_tr8_Pcp73;2024-05-08 06:32:07
assign_tr29_Pcp240;2024-05-08 06:34:09
assign_tr7_Pcp94;2024-05-08 06:37:37
assign_tr25_Pcp293;2024-05-08 06:38:30
assign_tr9_Pcp451;2024-05-08 06:40:43
assign_tr24_Pcp70;2024-05-08 06:44:10
assign_tr20_Pcp498;2024-05-08 06:46:47
assign_tr46_Pcp106;2024-05-08 06:48:17
assign_tr27_Pcp94;2024-05-08 06:55:50
assign_tr17_Pcp248;2024-05-08 06:55:56
assign_tr31_Pcp208;2024-05-08 07:02:19
assign_tr45_Pcp294;2024-05-08 07:03:28
assign_tr18_Pcp452;2024-05-08 07:09:32
assign_tr14_Pcp497;2024-05-08 07:13:56
assign_tr42_Pcp450;2024-05-08 07:17:53
assign_tr1_Pcp451;2024-05-08 07:44:22
assign_tr13_Pcp73;2024-05-08 12:52:01
assign_tr41_Pcp86;2024-05-08 13:04:22
assign_tr12_Pcp162;2024-05-08 13:07:22
assign_tr34_Pcp205;2024-05-08 13:09:31
assign_tr48_Pcp365;2024-05-08 13:10:54
assign_tr50_Pcp482;2024-05-08 13:15:18
assign_tr2_Pcp495;2024-05-08 13:27:32
assign_tr3_Pcp104;2024-05-08 13:41:12
assign_tr36_Pcp367;2024-05-08 13:59:16
assign_tr22_Pcp113;2024-05-08 14:17:42
assign_tr47_Pcp124;2024-05-08 14:44:28
assign_tr10_Pcp407;2024-05-10 05:40:19
assign_tr4_Pcp428;2024-05-10 06:43:45
assign_tr23_Pcp389;2024-05-10 06:55:24
assign_tr26_Pcp320;2024-05-10 07:01:41
