ocel_id;ocel_time
determine_continu_tr38_Pcp35_Silo3;2024-05-03 00:16:02
determine_continu_tr7_Pcp35_Silo3;2024-05-03 00:17:47
determine_continu_tr17_Pcp88_Silo4;2024-05-03 10:06:32
determine_continu_tr6_Pcp88_Silo4;2024-05-03 10:23:40
determine_continu_tr13_Pcp89_Silo18;2024-05-04 06:08:14
determine_continu_tr3_Pcp89_Silo18;2024-05-04 06:15:38
determine_continu_tr34_Pcp338_Silo11;2024-05-04 07:11:18
determine_continu_tr50_Pcp338_Silo11;2024-05-04 07:29:46
determine_continu_tr11_Pcp228_Silo11;2024-05-06 05:04:10
determine_continu_tr21_Pcp228_Silo11;2024-05-06 05:08:30
determine_continu_tr39_Pcp169_Silo11;2024-05-06 05:09:33
determine_continu_tr9_Pcp415_Silo11;2024-05-06 05:13:05
determine_continu_tr44_Pcp169_Silo11;2024-05-06 05:17:32
determine_continu_tr33_Pcp146_Silo11;2024-05-06 05:18:29
determine_continu_tr45_Pcp146_Silo11;2024-05-06 05:20:40
determine_continu_tr26_Pcp415_Silo11;2024-05-06 05:21:17
determine_continu_tr38_Pcp69_Silo11;2024-05-06 05:23:04
determine_continu_tr5_Pcp245_Silo11;2024-05-06 05:26:46
determine_continu_tr8_Pcp234_Silo11;2024-05-06 05:28:54
determine_continu_tr4_Pcp287_Silo7;2024-05-06 05:31:03
determine_continu_tr6_Pcp119_Silo7;2024-05-06 05:31:46
determine_continu_tr46_Pcp190_Silo11;2024-05-06 05:31:47
determine_continu_tr31_Pcp105_Silo7;2024-05-06 05:32:57
determine_continu_tr29_Pcp69_Silo11;2024-05-06 05:33:12
determine_continu_tr30_Pcp128_Silo7;2024-05-06 05:33:58
determine_continu_tr23_Pcp468_Silo11;2024-05-06 05:34:26
determine_continu_tr7_Pcp258_Silo7;2024-05-06 05:37:56
determine_continu_tr32_Pcp287_Silo7;2024-05-06 05:40:52
determine_continu_tr15_Pcp234_Silo11;2024-05-06 05:41:41
determine_continu_tr27_Pcp190_Silo11;2024-05-06 05:43:31
determine_continu_tr25_Pcp110_Silo7;2024-05-06 05:44:59
determine_continu_tr40_Pcp245_Silo11;2024-05-06 05:45:34
determine_continu_tr49_Pcp258_Silo7;2024-05-06 05:46:11
determine_continu_tr42_Pcp440_Silo7;2024-05-06 05:47:29
determine_continu_tr24_Pcp82_Silo7;2024-05-06 05:48:02
determine_continu_tr18_Pcp110_Silo7;2024-05-06 05:48:46
determine_continu_tr16_Pcp440_Silo7;2024-05-06 05:51:34
determine_continu_tr19_Pcp119_Silo7;2024-05-06 05:51:44
determine_continu_tr37_Pcp81_Silo7;2024-05-06 05:51:45
determine_continu_tr1_Pcp404_Silo7;2024-05-06 05:52:46
determine_continu_tr14_Pcp404_Silo7;2024-05-06 05:54:26
determine_continu_tr28_Pcp105_Silo7;2024-05-06 06:01:42
determine_continu_tr17_Pcp81_Silo7;2024-05-06 06:02:26
