ocel_id;ocel_time;rain condition
enter_tr7_Pcp35;2024-05-02 23:56:35;Have Rain
enter_tr38_Pcp35;2024-05-02 23:59:13;Have Rain
enter_tr6_Pcp88;2024-05-03 09:52:26;Have Rain
enter_tr17_Pcp88;2024-05-03 09:55:10;Have Rain
enter_tr13_Pcp89;2024-05-04 05:55:41;No Rain
enter_tr3_Pcp89;2024-05-04 05:58:54;No Rain
enter_tr34_Pcp338;2024-05-04 06:53:56;Have Rain
enter_tr50_Pcp338;2024-05-04 07:00:06;No Rain
enter_tr29_Pcp69;2024-05-06 04:42:14;No Rain
enter_tr11_Pcp228;2024-05-06 04:48:22;No Rain
enter_tr21_Pcp228;2024-05-06 04:49:42;No Rain
enter_tr39_Pcp169;2024-05-06 04:49:56;No Rain
enter_tr9_Pcp415;2024-05-06 04:50:19;No Rain
enter_tr38_Pcp69;2024-05-06 04:50:32;No Rain
enter_tr10_Pcp385;2024-05-06 04:50:39;No Rain
enter_tr44_Pcp169;2024-05-06 04:50:51;No Rain
enter_tr35_Pcp385;2024-05-06 04:52:38;No Rain
enter_tr23_Pcp468;2024-05-06 04:56:13;No Rain
enter_tr46_Pcp190;2024-05-06 04:58:35;No Rain
enter_tr43_Pcp468;2024-05-06 04:58:35;No Rain
enter_tr26_Pcp415;2024-05-06 04:58:55;No Rain
enter_tr45_Pcp146;2024-05-06 05:00:45;Have Rain
enter_tr27_Pcp190;2024-05-06 05:01:45;Have Rain
enter_tr33_Pcp146;2024-05-06 05:03:30;Have Rain
enter_tr6_Pcp119;2024-05-06 05:08:08;Have Rain
enter_tr5_Pcp245;2024-05-06 05:08:18;Have Rain
enter_tr8_Pcp234;2024-05-06 05:08:53;Have Rain
enter_tr19_Pcp119;2024-05-06 05:09:53;Have Rain
enter_tr25_Pcp110;2024-05-06 05:11:30;Have Rain
enter_tr40_Pcp245;2024-05-06 05:11:44;Have Rain
enter_tr37_Pcp81;2024-05-06 05:11:44;Have Rain
enter_tr15_Pcp234;2024-05-06 05:13:07;Have Rain
enter_tr4_Pcp287;2024-05-06 05:17:31;Have Rain
enter_tr18_Pcp110;2024-05-06 05:19:11;Have Rain
enter_tr32_Pcp287;2024-05-06 05:19:38;Have Rain
enter_tr31_Pcp105;2024-05-06 05:21:26;Have Rain
enter_tr49_Pcp258;2024-05-06 05:22:04;Have Rain
enter_tr30_Pcp128;2024-05-06 05:22:05;Have Rain
enter_tr7_Pcp258;2024-05-06 05:22:19;Have Rain
enter_tr17_Pcp81;2024-05-06 05:23:10;Have Rain
enter_tr14_Pcp404;2024-05-06 05:24:57;Have Rain
enter_tr24_Pcp82;2024-05-06 05:25:27;Have Rain
enter_tr28_Pcp105;2024-05-06 05:25:49;Have Rain
enter_tr1_Pcp404;2024-05-06 05:25:57;Have Rain
enter_tr16_Pcp440;2024-05-06 05:27:59;Have Rain
enter_tr42_Pcp440;2024-05-06 05:30:16;Have Rain
enter_tr20_Pcp82;2024-05-06 05:34:38;Have Rain
enter_tr47_Pcp438;2024-05-06 12:02:12;No Rain
enter_tr34_Pcp121;2024-05-06 12:03:28;No Rain
enter_tr48_Pcp121;2024-05-06 12:05:33;No Rain
enter_tr2_Pcp14;2024-05-06 12:07:00;No Rain
enter_tr50_Pcp459;2024-05-06 12:10:49;No Rain
enter_tr12_Pcp432;2024-05-06 12:11:26;No Rain
enter_tr13_Pcp438;2024-05-06 12:12:06;No Rain
enter_tr22_Pcp14;2024-05-06 12:16:02;No Rain
enter_tr41_Pcp459;2024-05-06 12:17:58;No Rain
enter_tr36_Pcp432;2024-05-06 12:20:32;No Rain
enter_tr3_Pcp219;2024-05-06 12:22:29;No Rain
enter_tr10_Pcp271;2024-05-08 05:05:49;Have Rain
enter_tr43_Pcp99;2024-05-08 05:13:39;Have Rain
enter_tr35_Pcp434;2024-05-08 05:15:52;Have Rain
enter_tr11_Pcp99;2024-05-08 05:29:02;Have Rain
enter_tr21_Pcp421;2024-05-08 05:35:58;Have Rain
enter_tr44_Pcp223;2024-05-08 05:37:02;Have Rain
enter_tr33_Pcp354;2024-05-08 05:57:12;Have Rain
enter_tr4_Pcp219;2024-05-08 05:58:25;Have Rain
enter_tr32_Pcp487;2024-05-08 06:02:04;Have Rain
enter_tr5_Pcp194;2024-05-08 06:02:16;Have Rain
enter_tr40_Pcp482;2024-05-08 06:05:15;Have Rain
enter_tr30_Pcp497;2024-05-08 06:08:19;Have Rain
enter_tr6_Pcp363;2024-05-08 06:09:42;Have Rain
enter_tr26_Pcp209;2024-05-08 06:13:25;Have Rain
