ocel_id;ocel_time
eval_tr7exit_Pcp35;2024-05-03 00:48:24
eval_tr38exit_Pcp35;2024-05-03 00:55:35
eval_tr17exit_Pcp88;2024-05-03 10:51:43
eval_tr6exit_Pcp88;2024-05-03 11:06:37
eval_tr13exit_Pcp89;2024-05-04 06:32:33
eval_tr3exit_Pcp89;2024-05-04 07:49:49
eval_tr34exit_Pcp338;2024-05-04 08:07:11
eval_tr50exit_Pcp338;2024-05-04 09:11:06
eval_tr11exit_Pcp228;2024-05-06 05:22:53
eval_tr21exit_Pcp228;2024-05-06 05:28:41
eval_tr44exit_Pcp169;2024-05-06 05:31:33
eval_tr4exit_Pcp287;2024-05-06 05:49:26
eval_tr33exit_Pcp146;2024-05-06 05:49:44
eval_tr5exit_Pcp245;2024-05-06 05:51:03
eval_tr40exit_Pcp245;2024-05-06 05:59:01
eval_tr32exit_Pcp287;2024-05-06 06:00:19
eval_tr30exit_Pcp128;2024-05-06 06:04:08
eval_tr6exit_Pcp119;2024-05-06 06:05:47
eval_tr26exit_Pcp415;2024-05-06 06:05:50
eval_tr23exit_Pcp468;2024-05-06 06:08:14
eval_tr19exit_Pcp119;2024-05-06 06:08:24
eval_tr15exit_Pcp234;2024-05-06 06:11:25
eval_tr37exit_Pcp81;2024-05-06 06:12:19
eval_tr38exit_Pcp69;2024-05-06 06:13:41
eval_tr49exit_Pcp258;2024-05-06 06:14:34
eval_tr39exit_Pcp169;2024-05-06 06:15:18
eval_tr28exit_Pcp105;2024-05-06 06:17:09
eval_tr8exit_Pcp234;2024-05-06 06:28:28
eval_tr16exit_Pcp440;2024-05-06 06:29:00
eval_tr29exit_Pcp69;2024-05-06 06:32:37
eval_tr7exit_Pcp258;2024-05-06 06:32:37
eval_tr25exit_Pcp110;2024-05-06 06:37:04
eval_tr9exit_Pcp415;2024-05-06 06:38:25
eval_tr24exit_Pcp82;2024-05-06 06:41:46
eval_tr20exit_Pcp82;2024-05-06 06:44:00
eval_tr27exit_Pcp190;2024-05-06 06:45:18
eval_tr46exit_Pcp190;2024-05-06 06:45:23
eval_tr17exit_Pcp81;2024-05-06 06:53:37
eval_tr31exit_Pcp105;2024-05-06 06:59:05
eval_tr45exit_Pcp146;2024-05-06 07:01:05
