ocel_id;ocel_time
exit_tr7_Pcp35;2024-05-03 00:48:36
exit_tr38_Pcp35;2024-05-03 01:02:31
exit_tr17_Pcp88;2024-05-03 10:52:47
exit_tr6_Pcp88;2024-05-03 11:08:00
exit_tr13_Pcp89;2024-05-04 06:33:22
exit_tr3_Pcp89;2024-05-04 07:51:12
exit_tr34_Pcp338;2024-05-04 08:08:42
exit_tr50_Pcp338;2024-05-04 09:11:20
exit_tr11_Pcp228;2024-05-06 05:25:18
exit_tr44_Pcp169;2024-05-06 05:31:52
exit_tr21_Pcp228;2024-05-06 05:32:35
exit_tr4_Pcp287;2024-05-06 05:49:46
exit_tr33_Pcp146;2024-05-06 05:51:24
exit_tr5_Pcp245;2024-05-06 05:53:50
exit_tr40_Pcp245;2024-05-06 05:59:12
exit_tr32_Pcp287;2024-05-06 06:00:37
exit_tr30_Pcp128;2024-05-06 06:05:36
exit_tr6_Pcp119;2024-05-06 06:06:03
exit_tr26_Pcp415;2024-05-06 06:08:15
exit_tr19_Pcp119;2024-05-06 06:08:52
exit_tr23_Pcp468;2024-05-06 06:10:23
exit_tr37_Pcp81;2024-05-06 06:12:35
exit_tr15_Pcp234;2024-05-06 06:12:52
exit_tr38_Pcp69;2024-05-06 06:14:39
exit_tr39_Pcp169;2024-05-06 06:15:55
exit_tr28_Pcp105;2024-05-06 06:17:42
exit_tr49_Pcp258;2024-05-06 06:18:20
exit_tr8_Pcp234;2024-05-06 06:30:07
exit_tr16_Pcp440;2024-05-06 06:30:09
exit_tr29_Pcp69;2024-05-06 06:33:34
exit_tr7_Pcp258;2024-05-06 06:35:26
exit_tr25_Pcp110;2024-05-06 06:37:45
exit_tr9_Pcp415;2024-05-06 06:39:18
exit_tr24_Pcp82;2024-05-06 06:43:36
exit_tr20_Pcp82;2024-05-06 06:44:16
exit_tr46_Pcp190;2024-05-06 06:45:33
exit_tr17_Pcp81;2024-05-06 06:54:09
exit_tr27_Pcp190;2024-05-06 06:55:17
exit_tr31_Pcp105;2024-05-06 06:59:44
exit_tr45_Pcp146;2024-05-06 07:02:52
exit_tr18_Pcp110;2024-05-06 07:08:23
exit_tr14_Pcp404;2024-05-06 07:10:52
exit_tr42_Pcp440;2024-05-06 07:12:57
exit_tr1_Pcp404;2024-05-06 07:43:41
exit_tr13_Pcp438;2024-05-06 12:51:11
exit_tr41_Pcp459;2024-05-06 13:03:02
exit_tr12_Pcp432;2024-05-06 13:06:06
exit_tr34_Pcp121;2024-05-06 13:08:17
exit_tr48_Pcp121;2024-05-06 13:09:43
exit_tr50_Pcp459;2024-05-06 13:14:12
exit_tr2_Pcp14;2024-05-06 13:26:04
exit_tr3_Pcp219;2024-05-06 13:40:16
exit_tr36_Pcp432;2024-05-06 13:55:11
exit_tr22_Pcp14;2024-05-06 14:16:07
exit_tr47_Pcp438;2024-05-06 14:40:31
exit_tr10_Pcp271;2024-05-08 05:38:44
exit_tr4_Pcp219;2024-05-08 06:42:30
exit_tr23_Pcp434;2024-05-08 06:53:42
exit_tr26_Pcp209;2024-05-08 07:00:09
exit_tr44_Pcp223;2024-05-08 07:01:48
exit_tr35_Pcp434;2024-05-08 07:04:47
exit_tr40_Pcp482;2024-05-08 07:06:51
exit_tr30_Pcp497;2024-05-08 07:10:00
exit_tr49_Pcp213;2024-05-08 07:16:04
exit_tr20_Pcp498;2024-05-08 07:25:11
exit_tr43_Pcp99;2024-05-08 07:28:14
exit_tr29_Pcp240;2024-05-08 07:28:37
exit_tr46_Pcp106;2024-05-08 07:28:46
exit_tr21_Pcp421;2024-05-08 07:32:23
exit_tr33_Pcp354;2024-05-08 07:35:03
exit_tr11_Pcp99;2024-05-08 07:36:15
exit_tr27_Pcp94;2024-05-08 07:43:12
exit_tr19_Pcp354;2024-05-08 07:45:31
exit_tr18_Pcp452;2024-05-08 07:46:04
exit_tr15_Pcp208;2024-05-08 07:54:15
exit_tr39_Pcp248;2024-05-08 07:55:47
exit_tr7_Pcp94;2024-05-08 07:56:18
exit_tr31_Pcp208;2024-05-08 07:57:49
exit_tr37_Pcp38;2024-05-08 07:58:57
exit_tr45_Pcp294;2024-05-08 07:59:40
exit_tr42_Pcp450;2024-05-08 08:01:29
exit_tr24_Pcp70;2024-05-08 08:02:01
exit_tr38_Pcp421;2024-05-08 08:08:31
exit_tr8_Pcp73;2024-05-08 08:09:34
exit_tr25_Pcp293;2024-05-08 08:11:43
exit_tr17_Pcp248;2024-05-08 08:15:54
exit_tr6_Pcp363;2024-05-08 08:17:02
exit_tr32_Pcp487;2024-05-08 08:22:03
exit_tr14_Pcp497;2024-05-08 08:53:23
exit_tr16_Pcp70;2024-05-08 08:55:31
exit_tr5_Pcp194;2024-05-08 09:04:08
exit_tr9_Pcp451;2024-05-08 09:33:31
exit_tr28_Pcp223;2024-05-08 09:35:53
exit_tr41_Pcp86;2024-05-08 13:53:38
exit_tr2_Pcp495;2024-05-08 14:05:52
exit_tr12_Pcp162;2024-05-08 14:10:54
exit_tr50_Pcp482;2024-05-08 14:11:50
exit_tr13_Pcp73;2024-05-08 15:15:17
exit_tr36_Pcp367;2024-05-08 15:48:01
exit_tr22_Pcp113;2024-05-08 15:50:46
