ocel_id;ocel_time
fail_load_tr1_Pcp451;2024-05-08 08:19:43
fail_load_tr48_Pcp365;2024-05-08 13:34:41
fail_load_tr34_Pcp205;2024-05-08 13:46:23
fail_load_tr47_Pcp124;2024-05-08 15:13:56
fail_load_tr21_Pcp310;2024-05-12 08:46:23
fail_load_tr30_Pcp202;2024-05-12 08:54:25
fail_load_tr45_Pcp495;2024-05-12 10:54:52
fail_load_tr21_Pcp177;2024-05-14 09:27:55
fail_load_tr32_Pcp423;2024-05-14 10:59:42
fail_load_tr35_Pcp142;2024-05-14 11:08:11
fail_load_tr32_Pcp339;2024-05-16 11:34:34
fail_load_tr33_Pcp341;2024-05-16 12:06:22
fail_load_tr17_Pcp306;2024-05-16 13:30:40
fail_load_tr19_Pcp186;2024-05-18 13:52:34
fail_load_tr14_Pcp311;2024-05-18 16:08:53
fail_load_tr29_Pcp196;2024-05-20 14:17:55
fail_load_tr8_Pcp138;2024-05-20 17:42:20
fail_load_tr7_Pcp414;2024-05-22 15:30:00
fail_load_tr49_Pcp252;2024-05-22 16:25:19
fail_load_tr11_Pcp419;2024-05-22 16:40:44
fail_load_tr27_Pcp370;2024-05-22 17:29:08
fail_load_tr45_Pcp263;2024-05-22 17:56:52
fail_load_tr6_Pcp185;2024-05-22 18:00:25
fail_load_tr14_Pcp95;2024-05-22 18:12:52
fail_load_tr39_Pcp271;2024-05-22 19:34:36
fail_load_tr47_Pcp341;2024-05-22 21:58:45
fail_load_tr12_Pcp297;2024-05-23 02:37:34
fail_load_tr3_Pcp142;2024-05-23 03:54:09
fail_load_tr4_Pcp361;2024-05-24 17:17:41
fail_load_tr11_Pcp456;2024-05-24 17:18:50
fail_load_tr31_Pcp4;2024-05-24 17:23:11
fail_load_tr8_Pcp417;2024-05-29 00:42:21
