ocel_event_id;ocel_IoT_object_id;ocel_qualifier
enter_tr7_Pcp35;rfidXNPCXE;RFID tag read at entrance
enter_tr38_Pcp35;rfidVIASXP;RFID tag read at entrance
weigh_empty_tr38_Pcp35;WS06;Weight sensor for empty truck weighing
weigh_empty_tr7_Pcp35;WS10;Weight sensor for empty truck weighing
check_abnorm_tr38_Pcp35;rfidVIASXP;RFID tag read at empty truck weighing
check_abnorm_tr7_Pcp35;rfidXNPCXE;RFID tag read at empty truck weighing
determine_continu_tr38_Pcp35_Silo3;Temp3;Temperature sensor for determining the pickup continuation
determine_continu_tr38_Pcp35_Silo3;Humd3;Humidity sensor for determining the pickup continuation
determine_continu_tr38_Pcp35_Silo3;GrainTemp7;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr38_Pcp35_Silo3;GrainTemp8;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr38_Pcp35_Silo3;GrainTemp9;3rd grain temperature sensor for determining the pickup continuation
determine_continu_tr7_Pcp35_Silo3;Temp3;Temperature sensor for determining the pickup continuation
determine_continu_tr7_Pcp35_Silo3;Humd3;Humidity sensor for determining the pickup continuation
determine_continu_tr7_Pcp35_Silo3;GrainTemp7;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr7_Pcp35_Silo3;GrainTemp8;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr7_Pcp35_Silo3;GrainTemp9;3rd grain temperature sensor for determining the pickup continuation
weigh_loaded_tr7_Pcp35;WS13;Weight sensor for loaded truck weighing
weigh_loaded_tr38_Pcp35;WS08;Weight sensor for loaded truck weighing
enter_tr6_Pcp88;rfidQSKZVB;RFID tag read at entrance
enter_tr17_Pcp88;rfidVYEBVG;RFID tag read at entrance
weigh_empty_tr17_Pcp88;WS06;Weight sensor for empty truck weighing
check_abnorm_tr17_Pcp88;rfidVYEBVG;RFID tag read at empty truck weighing
determine_continu_tr17_Pcp88_Silo4;Temp4;Temperature sensor for determining the pickup continuation
determine_continu_tr17_Pcp88_Silo4;Humd4;Humidity sensor for determining the pickup continuation
determine_continu_tr17_Pcp88_Silo4;GrainTemp10;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr17_Pcp88_Silo4;GrainTemp11;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr17_Pcp88_Silo4;GrainTemp12;3rd grain temperature sensor for determining the pickup continuation
weigh_empty_tr6_Pcp88;WS16;Weight sensor for empty truck weighing
check_abnorm_tr6_Pcp88;rfidQSKZVB;RFID tag read at empty truck weighing
determine_continu_tr6_Pcp88_Silo4;Temp4;Temperature sensor for determining the pickup continuation
determine_continu_tr6_Pcp88_Silo4;Humd4;Humidity sensor for determining the pickup continuation
determine_continu_tr6_Pcp88_Silo4;GrainTemp10;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr6_Pcp88_Silo4;GrainTemp11;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr6_Pcp88_Silo4;GrainTemp12;3rd grain temperature sensor for determining the pickup continuation
weigh_loaded_tr17_Pcp88;WS04;Weight sensor for loaded truck weighing
weigh_loaded_tr6_Pcp88;WS13;Weight sensor for loaded truck weighing
enter_tr13_Pcp89;rfidGTHHGD;RFID tag read at entrance
enter_tr3_Pcp89;rfidDRCUXI;RFID tag read at entrance
weigh_empty_tr13_Pcp89;WS17;Weight sensor for empty truck weighing
check_abnorm_tr13_Pcp89;rfidGTHHGD;RFID tag read at empty truck weighing
