ocel_id;ocel_time
issue_ticket_tr7_Pcp35;2024-05-03 00:48:23
issue_ticket_tr38_Pcp35;2024-05-03 00:55:24
issue_ticket_tr17_Pcp88;2024-05-03 10:51:42
issue_ticket_tr6_Pcp88;2024-05-03 11:06:36
issue_ticket_tr13_Pcp89;2024-05-04 06:31:40
issue_ticket_tr3_Pcp89;2024-05-04 07:49:48
issue_ticket_tr34_Pcp338;2024-05-04 08:07:10
issue_ticket_tr50_Pcp338;2024-05-04 09:10:16
issue_ticket_tr11_Pcp228;2024-05-06 05:22:49
issue_ticket_tr21_Pcp228;2024-05-06 05:28:40
issue_ticket_tr44_Pcp169;2024-05-06 05:30:49
issue_ticket_tr4_Pcp287;2024-05-06 05:48:49
issue_ticket_tr33_Pcp146;2024-05-06 05:49:43
issue_ticket_tr5_Pcp245;2024-05-06 05:51:02
issue_ticket_tr40_Pcp245;2024-05-06 05:58:24
issue_ticket_tr32_Pcp287;2024-05-06 06:00:18
issue_ticket_tr30_Pcp128;2024-05-06 06:04:07
issue_ticket_tr6_Pcp119;2024-05-06 06:04:47
issue_ticket_tr26_Pcp415;2024-05-06 06:05:49
issue_ticket_tr19_Pcp119;2024-05-06 06:06:47
issue_ticket_tr23_Pcp468;2024-05-06 06:08:13
issue_ticket_tr15_Pcp234;2024-05-06 06:11:09
issue_ticket_tr37_Pcp81;2024-05-06 06:12:18
issue_ticket_tr38_Pcp69;2024-05-06 06:13:40
issue_ticket_tr49_Pcp258;2024-05-06 06:13:58
issue_ticket_tr39_Pcp169;2024-05-06 06:15:11
issue_ticket_tr28_Pcp105;2024-05-06 06:17:08
issue_ticket_tr8_Pcp234;2024-05-06 06:27:03
issue_ticket_tr16_Pcp440;2024-05-06 06:28:52
issue_ticket_tr7_Pcp258;2024-05-06 06:32:36
issue_ticket_tr29_Pcp69;2024-05-06 06:32:36
issue_ticket_tr9_Pcp415;2024-05-06 06:36:40
issue_ticket_tr25_Pcp110;2024-05-06 06:37:03
issue_ticket_tr24_Pcp82;2024-05-06 06:41:45
issue_ticket_tr46_Pcp190;2024-05-06 06:43:32
issue_ticket_tr20_Pcp82;2024-05-06 06:43:59
issue_ticket_tr27_Pcp190;2024-05-06 06:45:17
issue_ticket_tr17_Pcp81;2024-05-06 06:52:46
issue_ticket_tr31_Pcp105;2024-05-06 06:59:04
issue_ticket_tr45_Pcp146;2024-05-06 07:01:04
issue_ticket_tr18_Pcp110;2024-05-06 07:07:08
issue_ticket_tr14_Pcp404;2024-05-06 07:08:04
issue_ticket_tr42_Pcp440;2024-05-06 07:12:06
issue_ticket_tr1_Pcp404;2024-05-06 07:41:33
issue_ticket_tr13_Pcp438;2024-05-06 12:49:24
issue_ticket_tr41_Pcp459;2024-05-06 13:00:32
