ocel_id;ocel_time
weigh_empty_tr38_Pcp35;2024-05-03 00:07:53
weigh_empty_tr7_Pcp35;2024-05-03 00:09:03
weigh_empty_tr17_Pcp88;2024-05-03 10:01:06
weigh_empty_tr6_Pcp88;2024-05-03 10:08:11
weigh_empty_tr13_Pcp89;2024-05-04 06:01:01
weigh_empty_tr3_Pcp89;2024-05-04 06:07:13
weigh_empty_tr34_Pcp338;2024-05-04 07:01:04
weigh_empty_tr50_Pcp338;2024-05-04 07:23:49
weigh_empty_tr9_Pcp415;2024-05-06 04:55:25
weigh_empty_tr39_Pcp169;2024-05-06 04:56:25
weigh_empty_tr11_Pcp228;2024-05-06 04:59:19
weigh_empty_tr21_Pcp228;2024-05-06 04:59:31
weigh_empty_tr44_Pcp169;2024-05-06 05:01:31
weigh_empty_tr10_Pcp385;2024-05-06 05:03:32
weigh_empty_tr43_Pcp468;2024-05-06 05:04:33
weigh_empty_tr26_Pcp415;2024-05-06 05:04:49
weigh_empty_tr35_Pcp385;2024-05-06 05:07:23
weigh_empty_tr45_Pcp146;2024-05-06 05:13:15
weigh_empty_tr33_Pcp146;2024-05-06 05:13:45
weigh_empty_tr38_Pcp69;2024-05-06 05:15:03
weigh_empty_tr8_Pcp234;2024-05-06 05:15:15
weigh_empty_tr27_Pcp190;2024-05-06 05:18:04
weigh_empty_tr5_Pcp245;2024-05-06 05:18:57
weigh_empty_tr6_Pcp119;2024-05-06 05:19:00
weigh_empty_tr29_Pcp69;2024-05-06 05:19:14
weigh_empty_tr46_Pcp190;2024-05-06 05:20:22
weigh_empty_tr23_Pcp468;2024-05-06 05:21:42
weigh_empty_tr40_Pcp245;2024-05-06 05:23:15
weigh_empty_tr4_Pcp287;2024-05-06 05:24:54
weigh_empty_tr30_Pcp128;2024-05-06 05:25:23
weigh_empty_tr31_Pcp105;2024-05-06 05:26:16
weigh_empty_tr25_Pcp110;2024-05-06 05:26:31
weigh_empty_tr15_Pcp234;2024-05-06 05:27:01
weigh_empty_tr18_Pcp110;2024-05-06 05:29:22
weigh_empty_tr37_Pcp81;2024-05-06 05:29:57
weigh_empty_tr32_Pcp287;2024-05-06 05:31:03
weigh_empty_tr16_Pcp440;2024-05-06 05:31:57
weigh_empty_tr7_Pcp258;2024-05-06 05:33:07
weigh_empty_tr49_Pcp258;2024-05-06 05:35:11
weigh_empty_tr19_Pcp119;2024-05-06 05:35:42
weigh_empty_tr1_Pcp404;2024-05-06 05:36:59
weigh_empty_tr17_Pcp81;2024-05-06 05:40:04
weigh_empty_tr14_Pcp404;2024-05-06 05:40:14
weigh_empty_tr24_Pcp82;2024-05-06 05:40:27
weigh_empty_tr42_Pcp440;2024-05-06 05:40:34
weigh_empty_tr28_Pcp105;2024-05-06 05:51:34
weigh_empty_tr20_Pcp82;2024-05-06 05:54:11
weigh_empty_tr47_Pcp438;2024-05-06 12:08:58
weigh_empty_tr48_Pcp121;2024-05-06 12:11:20
weigh_empty_tr34_Pcp121;2024-05-06 12:15:31
weigh_empty_tr13_Pcp438;2024-05-06 12:19:44
weigh_empty_tr50_Pcp459;2024-05-06 12:22:03
weigh_empty_tr2_Pcp14;2024-05-06 12:23:57
weigh_empty_tr41_Pcp459;2024-05-06 12:27:48
weigh_empty_tr12_Pcp432;2024-05-06 12:28:50
weigh_empty_tr22_Pcp14;2024-05-06 12:30:42
weigh_empty_tr36_Pcp432;2024-05-06 12:31:42
weigh_empty_tr3_Pcp219;2024-05-06 12:32:50
weigh_empty_tr10_Pcp271;2024-05-08 05:12:39
weigh_empty_tr43_Pcp99;2024-05-08 05:22:39
weigh_empty_tr35_Pcp434;2024-05-08 05:34:18
weigh_empty_tr21_Pcp421;2024-05-08 05:44:29
weigh_empty_tr44_Pcp223;2024-05-08 05:44:37
weigh_empty_tr11_Pcp99;2024-05-08 05:56:18
weigh_empty_tr4_Pcp219;2024-05-08 06:06:39
weigh_empty_tr5_Pcp194;2024-05-08 06:10:04
weigh_empty_tr30_Pcp497;2024-05-08 06:15:27
weigh_empty_tr33_Pcp354;2024-05-08 06:17:26
weigh_empty_tr32_Pcp487;2024-05-08 06:17:34
weigh_empty_tr23_Pcp434;2024-05-08 06:20:21
weigh_empty_tr6_Pcp363;2024-05-08 06:21:26
weigh_empty_tr26_Pcp209;2024-05-08 06:22:50
weigh_empty_tr40_Pcp482;2024-05-08 06:24:25
weigh_empty_tr15_Pcp208;2024-05-08 06:25:47
weigh_empty_tr19_Pcp354;2024-05-08 06:28:47
weigh_empty_tr49_Pcp213;2024-05-08 06:30:53
weigh_empty_tr37_Pcp38;2024-05-08 06:31:56
weigh_empty_tr28_Pcp223;2024-05-08 06:33:25
weigh_empty_tr8_Pcp73;2024-05-08 06:41:45
weigh_empty_tr16_Pcp70;2024-05-08 06:50:59
weigh_empty_tr29_Pcp240;2024-05-08 06:52:03
weigh_empty_tr25_Pcp293;2024-05-08 06:52:07
weigh_empty_tr9_Pcp451;2024-05-08 06:54:27
weigh_empty_tr7_Pcp94;2024-05-08 06:59:41
weigh_empty_tr20_Pcp498;2024-05-08 06:59:44
weigh_empty_tr39_Pcp248;2024-05-08 07:00:06
weigh_empty_tr24_Pcp70;2024-05-08 07:00:24
weigh_empty_tr38_Pcp421;2024-05-08 07:05:57
weigh_empty_tr46_Pcp106;2024-05-08 07:06:00
weigh_empty_tr45_Pcp294;2024-05-08 07:08:18
weigh_empty_tr27_Pcp94;2024-05-08 07:11:36
weigh_empty_tr17_Pcp248;2024-05-08 07:13:50
weigh_empty_tr31_Pcp208;2024-05-08 07:19:15
weigh_empty_tr18_Pcp452;2024-05-08 07:23:49
weigh_empty_tr42_Pcp450;2024-05-08 07:35:04
weigh_empty_tr14_Pcp497;2024-05-08 07:46:14
weigh_empty_tr1_Pcp451;2024-05-08 08:05:15
weigh_empty_tr13_Pcp73;2024-05-08 12:58:34
weigh_empty_tr41_Pcp86;2024-05-08 13:22:44
weigh_empty_tr12_Pcp162;2024-05-08 13:23:52
weigh_empty_tr48_Pcp365;2024-05-08 13:29:09
weigh_empty_tr34_Pcp205;2024-05-08 13:30:37
weigh_empty_tr50_Pcp482;2024-05-08 13:32:21
weigh_empty_tr2_Pcp495;2024-05-08 13:41:58
weigh_empty_tr3_Pcp104;2024-05-08 13:54:34
weigh_empty_tr36_Pcp367;2024-05-08 14:17:48
weigh_empty_tr22_Pcp113;2024-05-08 14:33:35
weigh_empty_tr47_Pcp124;2024-05-08 15:04:20
weigh_empty_tr10_Pcp407;2024-05-10 05:54:08
weigh_empty_tr4_Pcp428;2024-05-10 06:54:57
weigh_empty_tr23_Pcp389;2024-05-10 07:03:08
weigh_empty_tr44_Pcp427;2024-05-10 07:13:00
weigh_empty_tr26_Pcp320;2024-05-10 07:15:01
weigh_empty_tr40_Pcp1;2024-05-10 07:20:27
weigh_empty_tr35_Pcp324;2024-05-10 07:30:30
weigh_empty_tr49_Pcp330;2024-05-10 07:37:47
weigh_empty_tr30_Pcp454;2024-05-10 07:37:59
weigh_empty_tr21_Pcp63;2024-05-10 07:44:46
weigh_empty_tr46_Pcp309;2024-05-10 07:45:45
weigh_empty_tr20_Pcp171;2024-05-10 07:48:08
weigh_empty_tr29_Pcp113;2024-05-10 07:49:26
