ocel_id;ocel_time
weigh_loaded_tr7_Pcp35;2024-05-03 00:38:04
weigh_loaded_tr38_Pcp35;2024-05-03 00:53:23
weigh_loaded_tr17_Pcp88;2024-05-03 10:49:30
weigh_loaded_tr6_Pcp88;2024-05-03 11:02:47
weigh_loaded_tr13_Pcp89;2024-05-04 06:30:13
weigh_loaded_tr3_Pcp89;2024-05-04 07:46:25
weigh_loaded_tr34_Pcp338;2024-05-04 07:58:04
weigh_loaded_tr50_Pcp338;2024-05-04 09:07:38
weigh_loaded_tr11_Pcp228;2024-05-06 05:20:35
weigh_loaded_tr21_Pcp228;2024-05-06 05:25:21
weigh_loaded_tr44_Pcp169;2024-05-06 05:27:06
weigh_loaded_tr33_Pcp146;2024-05-06 05:40:24
weigh_loaded_tr4_Pcp287;2024-05-06 05:46:49
weigh_loaded_tr5_Pcp245;2024-05-06 05:48:51
weigh_loaded_tr32_Pcp287;2024-05-06 05:56:13
weigh_loaded_tr40_Pcp245;2024-05-06 05:56:57
weigh_loaded_tr30_Pcp128;2024-05-06 05:59:12
weigh_loaded_tr26_Pcp415;2024-05-06 05:59:45
weigh_loaded_tr23_Pcp468;2024-05-06 06:02:14
weigh_loaded_tr6_Pcp119;2024-05-06 06:03:55
weigh_loaded_tr19_Pcp119;2024-05-06 06:04:30
weigh_loaded_tr37_Pcp81;2024-05-06 06:05:35
weigh_loaded_tr38_Pcp69;2024-05-06 06:07:04
weigh_loaded_tr15_Pcp234;2024-05-06 06:08:14
weigh_loaded_tr39_Pcp169;2024-05-06 06:11:53
weigh_loaded_tr49_Pcp258;2024-05-06 06:12:21
weigh_loaded_tr28_Pcp105;2024-05-06 06:13:35
weigh_loaded_tr8_Pcp234;2024-05-06 06:24:44
weigh_loaded_tr16_Pcp440;2024-05-06 06:26:19
weigh_loaded_tr29_Pcp69;2024-05-06 06:28:16
weigh_loaded_tr7_Pcp258;2024-05-06 06:28:53
weigh_loaded_tr20_Pcp82;2024-05-06 06:32:34
weigh_loaded_tr25_Pcp110;2024-05-06 06:33:41
weigh_loaded_tr9_Pcp415;2024-05-06 06:34:02
weigh_loaded_tr24_Pcp82;2024-05-06 06:38:02
weigh_loaded_tr46_Pcp190;2024-05-06 06:39:42
weigh_loaded_tr27_Pcp190;2024-05-06 06:41:59
weigh_loaded_tr17_Pcp81;2024-05-06 06:51:20
weigh_loaded_tr31_Pcp105;2024-05-06 06:54:07
weigh_loaded_tr45_Pcp146;2024-05-06 06:57:07
weigh_loaded_tr18_Pcp110;2024-05-06 06:58:23
weigh_loaded_tr14_Pcp404;2024-05-06 07:00:34
weigh_loaded_tr42_Pcp440;2024-05-06 07:10:15
weigh_loaded_tr1_Pcp404;2024-05-06 07:37:44
weigh_loaded_tr13_Pcp438;2024-05-06 12:45:43
weigh_loaded_tr12_Pcp432;2024-05-06 12:54:09
weigh_loaded_tr41_Pcp459;2024-05-06 12:58:15
weigh_loaded_tr34_Pcp121;2024-05-06 13:00:08
weigh_loaded_tr48_Pcp121;2024-05-06 13:01:21
