ocel_event_id;ocel_object_id;ocel_qualifier
lodge_Pcp497;Pcp497;lodged pickup plan
lodge_Pcp497;Cr14;cargo to be picked up
lodge_Pcp465;Pcp465;lodged pickup plan
lodge_Pcp465;Cr18;cargo to be picked up
lodge_Pcp156;Pcp156;lodged pickup plan
lodge_Pcp156;Cr3;cargo to be picked up
lodge_Pcp12;Pcp12;lodged pickup plan
lodge_Pcp12;Cr4;cargo to be picked up
lodge_Pcp385;Pcp385;lodged pickup plan
lodge_Pcp385;Cr7;cargo to be picked up
lodge_Pcp395;Pcp395;lodged pickup plan
lodge_Pcp395;Cr20;cargo to be picked up
lodge_Pcp46;Pcp46;lodged pickup plan
lodge_Pcp46;Cr15;cargo to be picked up
lodge_Pcp110;Pcp110;lodged pickup plan
lodge_Pcp110;Cr5;cargo to be picked up
lodge_Pcp407;Pcp407;lodged pickup plan
lodge_Pcp407;Cr19;cargo to be picked up
lodge_Pcp9;Pcp9;lodged pickup plan
lodge_Pcp9;Cr13;cargo to be picked up
lodge_Pcp95;Pcp95;lodged pickup plan
lodge_Pcp95;Cr17;cargo to be picked up
lodge_Pcp107;Pcp107;lodged pickup plan
lodge_Pcp107;Cr12;cargo to be picked up
lodge_Pcp89;Pcp89;lodged pickup plan
lodge_Pcp89;Cr16;cargo to be picked up
lodge_Pcp41;Pcp41;lodged pickup plan
lodge_Pcp41;Cr18;cargo to be picked up
lodge_Pcp294;Pcp294;lodged pickup plan
lodge_Pcp294;Cr2;cargo to be picked up
lodge_Pcp483;Pcp483;lodged pickup plan
lodge_Pcp483;Cr1;cargo to be picked up
lodge_Pcp69;Pcp69;lodged pickup plan
lodge_Pcp69;Cr7;cargo to be picked up
lodge_Pcp324;Pcp324;lodged pickup plan
lodge_Pcp324;Cr8;cargo to be picked up
lodge_Pcp119;Pcp119;lodged pickup plan
lodge_Pcp119;Cr5;cargo to be picked up
lodge_Pcp320;Pcp320;lodged pickup plan
lodge_Pcp320;Cr6;cargo to be picked up
lodge_Pcp291;Pcp291;lodged pickup plan
lodge_Pcp291;Cr19;cargo to be picked up
lodge_Pcp490;Pcp490;lodged pickup plan
lodge_Pcp490;Cr20;cargo to be picked up
lodge_Pcp100;Pcp100;lodged pickup plan
lodge_Pcp100;Cr17;cargo to be picked up
lodge_Pcp116;Pcp116;lodged pickup plan
lodge_Pcp116;Cr13;cargo to be picked up
lodge_Pcp134;Pcp134;lodged pickup plan
lodge_Pcp134;Cr4;cargo to be picked up
lodge_Pcp391;Pcp391;lodged pickup plan
lodge_Pcp391;Cr18;cargo to be picked up
