ocel_source_id;ocel_target_id;ocel_qualifier;ocel_time
Pcp497;Cr14;Lodged pickup plan for cargo;2024-04-29 07:25:58
Pcp465;Cr18;Lodged pickup plan for cargo;2024-04-29 07:28:42
Pcp156;Cr3;Lodged pickup plan for cargo;2024-04-29 07:40:59
Pcp12;Cr4;Lodged pickup plan for cargo;2024-04-29 07:52:01
Pcp385;Cr7;Lodged pickup plan for cargo;2024-04-29 08:07:09
Pcp395;Cr20;Lodged pickup plan for cargo;2024-04-29 10:38:08
Pcp46;Cr15;Lodged pickup plan for cargo;2024-04-29 10:47:30
Pcp110;Cr5;Lodged pickup plan for cargo;2024-04-29 11:48:38
Pcp407;Cr19;Lodged pickup plan for cargo;2024-04-29 12:17:02
Pcp9;Cr13;Lodged pickup plan for cargo;2024-04-29 13:29:01
Pcp95;Cr17;Lodged pickup plan for cargo;2024-04-29 14:06:17
Pcp107;Cr12;Lodged pickup plan for cargo;2024-04-29 15:43:18
Pcp89;Cr16;Lodged pickup plan for cargo;2024-04-29 16:12:43
Pcp41;Cr18;Lodged pickup plan for cargo;2024-04-29 16:21:08
Pcp294;Cr2;Lodged pickup plan for cargo;2024-04-29 16:27:40
Pcp483;Cr1;Lodged pickup plan for cargo;2024-04-29 18:29:34
Pcp69;Cr7;Lodged pickup plan for cargo;2024-04-29 18:51:26
Pcp324;Cr8;Lodged pickup plan for cargo;2024-04-29 19:40:03
Pcp119;Cr5;Lodged pickup plan for cargo;2024-04-29 19:57:07
Pcp320;Cr6;Lodged pickup plan for cargo;2024-04-29 21:10:53
Pcp291;Cr19;Lodged pickup plan for cargo;2024-04-29 21:52:45
Pcp490;Cr20;Lodged pickup plan for cargo;2024-04-29 22:21:28
Pcp100;Cr17;Lodged pickup plan for cargo;2024-04-29 22:28:49
Pcp116;Cr13;Lodged pickup plan for cargo;2024-04-29 23:22:43
Pcp134;Cr4;Lodged pickup plan for cargo;2024-04-30 01:08:56
Pcp391;Cr18;Lodged pickup plan for cargo;2024-04-30 01:39:10
Pcp360;Cr3;Lodged pickup plan for cargo;2024-04-30 02:49:45
Pcp245;Cr7;Lodged pickup plan for cargo;2024-04-30 02:51:03
Pcp106;Cr9;Lodged pickup plan for cargo;2024-04-30 03:13:00
Pcp219;Cr11;Lodged pickup plan for cargo;2024-04-30 04:16:43
Pcp268;Cr10;Lodged pickup plan for cargo;2024-04-30 04:49:09
Pcp130;Cr1;Lodged pickup plan for cargo;2024-04-30 07:09:09
Pcp159;Cr13;Lodged pickup plan for cargo;2024-04-30 07:39:04
Pcp145;Cr16;Lodged pickup plan for cargo;2024-04-30 08:05:22
Pcp454;Cr3;Lodged pickup plan for cargo;2024-04-30 10:30:54
Pcp434;Cr8;Lodged pickup plan for cargo;2024-04-30 12:13:27
Pcp208;Cr14;Lodged pickup plan for cargo;2024-04-30 12:31:53
