ocel_id;ocel_time
check_abnorm_tr38_Pcp35;2024-05-03 00:09:43
check_abnorm_tr7_Pcp35;2024-05-03 00:10:59
check_abnorm_tr17_Pcp88;2024-05-03 10:02:15
check_abnorm_tr6_Pcp88;2024-05-03 10:09:38
check_abnorm_tr13_Pcp89;2024-05-04 06:03:40
check_abnorm_tr3_Pcp89;2024-05-04 06:07:46
check_abnorm_tr34_Pcp338;2024-05-04 07:02:26
check_abnorm_tr50_Pcp338;2024-05-04 07:24:46
check_abnorm_tr9_Pcp415;2024-05-06 04:57:47
check_abnorm_tr39_Pcp169;2024-05-06 04:58:54
check_abnorm_tr21_Pcp228;2024-05-06 05:00:22
check_abnorm_tr11_Pcp228;2024-05-06 05:00:33
check_abnorm_tr44_Pcp169;2024-05-06 05:04:23
check_abnorm_tr10_Pcp385;2024-05-06 05:04:39
check_abnorm_tr43_Pcp468;2024-05-06 05:05:16
check_abnorm_tr35_Pcp385;2024-05-06 05:07:57
check_abnorm_tr26_Pcp415;2024-05-06 05:08:58
check_abnorm_tr33_Pcp146;2024-05-06 05:14:24
check_abnorm_tr45_Pcp146;2024-05-06 05:14:53
check_abnorm_tr38_Pcp69;2024-05-06 05:16:31
check_abnorm_tr8_Pcp234;2024-05-06 05:17:45
check_abnorm_tr6_Pcp119;2024-05-06 05:19:49
check_abnorm_tr5_Pcp245;2024-05-06 05:20:00
check_abnorm_tr29_Pcp69;2024-05-06 05:20:40
check_abnorm_tr27_Pcp190;2024-05-06 05:21:36
check_abnorm_tr23_Pcp468;2024-05-06 05:22:56
check_abnorm_tr46_Pcp190;2024-05-06 05:23:07
check_abnorm_tr40_Pcp245;2024-05-06 05:24:26
check_abnorm_tr4_Pcp287;2024-05-06 05:25:42
check_abnorm_tr31_Pcp105;2024-05-06 05:27:11
check_abnorm_tr30_Pcp128;2024-05-06 05:28:17
check_abnorm_tr15_Pcp234;2024-05-06 05:28:27
check_abnorm_tr25_Pcp110;2024-05-06 05:28:59
check_abnorm_tr18_Pcp110;2024-05-06 05:30:43
check_abnorm_tr37_Pcp81;2024-05-06 05:30:48
check_abnorm_tr32_Pcp287;2024-05-06 05:32:34
check_abnorm_tr16_Pcp440;2024-05-06 05:32:36
check_abnorm_tr7_Pcp258;2024-05-06 05:34:26
check_abnorm_tr49_Pcp258;2024-05-06 05:35:54
check_abnorm_tr19_Pcp119;2024-05-06 05:36:46
check_abnorm_tr1_Pcp404;2024-05-06 05:37:39
check_abnorm_tr42_Pcp440;2024-05-06 05:41:51
check_abnorm_tr14_Pcp404;2024-05-06 05:42:17
check_abnorm_tr24_Pcp82;2024-05-06 05:42:44
check_abnorm_tr17_Pcp81;2024-05-06 05:44:53
check_abnorm_tr28_Pcp105;2024-05-06 05:54:19
check_abnorm_tr20_Pcp82;2024-05-06 05:55:30
check_abnorm_tr47_Pcp438;2024-05-06 12:10:25
check_abnorm_tr48_Pcp121;2024-05-06 12:11:58
check_abnorm_tr34_Pcp121;2024-05-06 12:16:24
check_abnorm_tr13_Pcp438;2024-05-06 12:20:17
check_abnorm_tr50_Pcp459;2024-05-06 12:23:19
check_abnorm_tr2_Pcp14;2024-05-06 12:26:32
check_abnorm_tr41_Pcp459;2024-05-06 12:28:50
check_abnorm_tr12_Pcp432;2024-05-06 12:29:50
check_abnorm_tr22_Pcp14;2024-05-06 12:32:00
check_abnorm_tr36_Pcp432;2024-05-06 12:32:12
check_abnorm_tr3_Pcp219;2024-05-06 12:33:50
check_abnorm_tr10_Pcp271;2024-05-08 05:13:21
check_abnorm_tr43_Pcp99;2024-05-08 05:24:56
check_abnorm_tr35_Pcp434;2024-05-08 05:37:33
check_abnorm_tr21_Pcp421;2024-05-08 05:45:13
check_abnorm_tr44_Pcp223;2024-05-08 05:46:30
check_abnorm_tr11_Pcp99;2024-05-08 05:56:53
check_abnorm_tr4_Pcp219;2024-05-08 06:08:11
check_abnorm_tr5_Pcp194;2024-05-08 06:10:35
check_abnorm_tr30_Pcp497;2024-05-08 06:16:07
check_abnorm_tr33_Pcp354;2024-05-08 06:18:27
check_abnorm_tr32_Pcp487;2024-05-08 06:18:36
check_abnorm_tr6_Pcp363;2024-05-08 06:22:07
check_abnorm_tr23_Pcp434;2024-05-08 06:22:35
check_abnorm_tr26_Pcp209;2024-05-08 06:25:34
check_abnorm_tr40_Pcp482;2024-05-08 06:26:24
check_abnorm_tr15_Pcp208;2024-05-08 06:27:02
check_abnorm_tr19_Pcp354;2024-05-08 06:30:06
check_abnorm_tr49_Pcp213;2024-05-08 06:32:11
check_abnorm_tr28_Pcp223;2024-05-08 06:34:04
check_abnorm_tr37_Pcp38;2024-05-08 06:34:10
check_abnorm_tr8_Pcp73;2024-05-08 06:45:03
check_abnorm_tr16_Pcp70;2024-05-08 06:51:40
check_abnorm_tr25_Pcp293;2024-05-08 06:52:42
check_abnorm_tr29_Pcp240;2024-05-08 06:54:20
check_abnorm_tr9_Pcp451;2024-05-08 06:55:03
check_abnorm_tr39_Pcp248;2024-05-08 07:00:38
check_abnorm_tr24_Pcp70;2024-05-08 07:01:02
check_abnorm_tr7_Pcp94;2024-05-08 07:01:13
check_abnorm_tr20_Pcp498;2024-05-08 07:01:16
check_abnorm_tr46_Pcp106;2024-05-08 07:06:37
check_abnorm_tr45_Pcp294;2024-05-08 07:08:52
check_abnorm_tr38_Pcp421;2024-05-08 07:09:30
check_abnorm_tr27_Pcp94;2024-05-08 07:12:13
check_abnorm_tr17_Pcp248;2024-05-08 07:15:32
check_abnorm_tr31_Pcp208;2024-05-08 07:20:24
check_abnorm_tr18_Pcp452;2024-05-08 07:24:57
check_abnorm_tr42_Pcp450;2024-05-08 07:36:12
check_abnorm_tr14_Pcp497;2024-05-08 07:48:34
check_abnorm_tr1_Pcp451;2024-05-08 08:06:10
check_abnorm_tr13_Pcp73;2024-05-08 12:59:27
check_abnorm_tr41_Pcp86;2024-05-08 13:23:55
check_abnorm_tr12_Pcp162;2024-05-08 13:25:24
check_abnorm_tr48_Pcp365;2024-05-08 13:29:41
check_abnorm_tr34_Pcp205;2024-05-08 13:32:04
check_abnorm_tr50_Pcp482;2024-05-08 13:33:01
