ocel_id;ocel_time
register_arrival_tr38_Pcp35;2024-05-03 00:03:47
register_arrival_tr7_Pcp35;2024-05-03 00:04:49
register_arrival_tr17_Pcp88;2024-05-03 09:57:17
register_arrival_tr6_Pcp88;2024-05-03 10:02:39
register_arrival_tr13_Pcp89;2024-05-04 05:57:21
register_arrival_tr3_Pcp89;2024-05-04 06:00:54
register_arrival_tr34_Pcp338;2024-05-04 06:56:29
register_arrival_tr50_Pcp338;2024-05-04 07:06:42
register_arrival_tr29_Pcp69;2024-05-06 04:46:49
register_arrival_tr21_Pcp228;2024-05-06 04:51:20
register_arrival_tr39_Pcp169;2024-05-06 04:51:21
register_arrival_tr9_Pcp415;2024-05-06 04:51:29
register_arrival_tr38_Pcp69;2024-05-06 04:52:32
register_arrival_tr11_Pcp228;2024-05-06 04:55:08
register_arrival_tr10_Pcp385;2024-05-06 04:55:12
register_arrival_tr44_Pcp169;2024-05-06 04:55:58
register_arrival_tr26_Pcp415;2024-05-06 05:00:07
register_arrival_tr43_Pcp468;2024-05-06 05:01:22
register_arrival_tr35_Pcp385;2024-05-06 05:01:52
register_arrival_tr45_Pcp146;2024-05-06 05:05:01
register_arrival_tr27_Pcp190;2024-05-06 05:07:16
register_arrival_tr23_Pcp468;2024-05-06 05:09:02
register_arrival_tr33_Pcp146;2024-05-06 05:09:09
register_arrival_tr5_Pcp245;2024-05-06 05:09:39
register_arrival_tr46_Pcp190;2024-05-06 05:09:48
register_arrival_tr8_Pcp234;2024-05-06 05:12:36
register_arrival_tr6_Pcp119;2024-05-06 05:12:50
register_arrival_tr19_Pcp119;2024-05-06 05:16:51
register_arrival_tr15_Pcp234;2024-05-06 05:17:19
register_arrival_tr25_Pcp110;2024-05-06 05:19:19
register_arrival_tr40_Pcp245;2024-05-06 05:20:04
register_arrival_tr4_Pcp287;2024-05-06 05:20:21
register_arrival_tr32_Pcp287;2024-05-06 05:22:05
register_arrival_tr30_Pcp128;2024-05-06 05:23:22
register_arrival_tr31_Pcp105;2024-05-06 05:23:51
register_arrival_tr7_Pcp258;2024-05-06 05:24:19
register_arrival_tr18_Pcp110;2024-05-06 05:25:16
register_arrival_tr37_Pcp81;2024-05-06 05:25:20
register_arrival_tr17_Pcp81;2024-05-06 05:25:42
register_arrival_tr49_Pcp258;2024-05-06 05:26:13
register_arrival_tr16_Pcp440;2024-05-06 05:29:21
register_arrival_tr14_Pcp404;2024-05-06 05:33:00
register_arrival_tr1_Pcp404;2024-05-06 05:33:32
register_arrival_tr24_Pcp82;2024-05-06 05:33:55
register_arrival_tr28_Pcp105;2024-05-06 05:36:44
register_arrival_tr42_Pcp440;2024-05-06 05:37:56
register_arrival_tr20_Pcp82;2024-05-06 05:51:09
register_arrival_tr47_Pcp438;2024-05-06 12:05:12
register_arrival_tr34_Pcp121;2024-05-06 12:06:11
register_arrival_tr48_Pcp121;2024-05-06 12:08:41
register_arrival_tr2_Pcp14;2024-05-06 12:16:20
register_arrival_tr13_Pcp438;2024-05-06 12:16:44
register_arrival_tr22_Pcp14;2024-05-06 12:18:26
register_arrival_tr50_Pcp459;2024-05-06 12:18:33
register_arrival_tr41_Pcp459;2024-05-06 12:21:38
register_arrival_tr36_Pcp432;2024-05-06 12:22:02
register_arrival_tr12_Pcp432;2024-05-06 12:24:56
register_arrival_tr3_Pcp219;2024-05-06 12:25:13
register_arrival_tr10_Pcp271;2024-05-08 05:08:56
register_arrival_tr43_Pcp99;2024-05-08 05:19:26
register_arrival_tr35_Pcp434;2024-05-08 05:23:03
register_arrival_tr11_Pcp99;2024-05-08 05:41:16
register_arrival_tr44_Pcp223;2024-05-08 05:41:55
register_arrival_tr21_Pcp421;2024-05-08 05:42:31
register_arrival_tr33_Pcp354;2024-05-08 06:01:15
register_arrival_tr4_Pcp219;2024-05-08 06:02:10
register_arrival_tr5_Pcp194;2024-05-08 06:04:57
register_arrival_tr32_Pcp487;2024-05-08 06:06:10
register_arrival_tr40_Pcp482;2024-05-08 06:12:22
register_arrival_tr30_Pcp497;2024-05-08 06:12:53
register_arrival_tr6_Pcp363;2024-05-08 06:14:09
register_arrival_tr26_Pcp209;2024-05-08 06:16:13
register_arrival_tr23_Pcp434;2024-05-08 06:16:43
register_arrival_tr37_Pcp38;2024-05-08 06:19:21
register_arrival_tr15_Pcp208;2024-05-08 06:19:27
register_arrival_tr19_Pcp354;2024-05-08 06:23:38
register_arrival_tr49_Pcp213;2024-05-08 06:26:40
register_arrival_tr28_Pcp223;2024-05-08 06:30:04
register_arrival_tr38_Pcp421;2024-05-08 06:35:15
register_arrival_tr8_Pcp73;2024-05-08 06:37:48
register_arrival_tr25_Pcp293;2024-05-08 06:43:30
register_arrival_tr29_Pcp240;2024-05-08 06:44:57
register_arrival_tr16_Pcp70;2024-05-08 06:45:31
register_arrival_tr39_Pcp248;2024-05-08 06:47:55
register_arrival_tr9_Pcp451;2024-05-08 06:47:58
register_arrival_tr46_Pcp106;2024-05-08 06:55:16
register_arrival_tr7_Pcp94;2024-05-08 06:55:42
register_arrival_tr20_Pcp498;2024-05-08 06:57:01
register_arrival_tr24_Pcp70;2024-05-08 06:57:16
register_arrival_tr27_Pcp94;2024-05-08 07:04:58
register_arrival_tr45_Pcp294;2024-05-08 07:05:56
register_arrival_tr17_Pcp248;2024-05-08 07:10:51
register_arrival_tr31_Pcp208;2024-05-08 07:13:07
register_arrival_tr18_Pcp452;2024-05-08 07:21:20
register_arrival_tr42_Pcp450;2024-05-08 07:26:49
register_arrival_tr14_Pcp497;2024-05-08 07:36:33
register_arrival_tr1_Pcp451;2024-05-08 07:55:40
register_arrival_tr13_Pcp73;2024-05-08 12:55:51
register_arrival_tr41_Pcp86;2024-05-08 13:12:20
register_arrival_tr12_Pcp162;2024-05-08 13:14:40
register_arrival_tr48_Pcp365;2024-05-08 13:17:44
register_arrival_tr50_Pcp482;2024-05-08 13:20:56
register_arrival_tr34_Pcp205;2024-05-08 13:21:49
register_arrival_tr2_Pcp495;2024-05-08 13:39:20
register_arrival_tr3_Pcp104;2024-05-08 13:50:47
register_arrival_tr36_Pcp367;2024-05-08 14:11:06
register_arrival_tr22_Pcp113;2024-05-08 14:24:47
register_arrival_tr47_Pcp124;2024-05-08 14:59:51
register_arrival_tr10_Pcp407;2024-05-10 05:50:57
register_arrival_tr4_Pcp428;2024-05-10 06:47:44
register_arrival_tr23_Pcp389;2024-05-10 06:59:50
register_arrival_tr44_Pcp427;2024-05-10 07:09:30
register_arrival_tr26_Pcp320;2024-05-10 07:12:21
register_arrival_tr40_Pcp1;2024-05-10 07:12:56
register_arrival_tr35_Pcp324;2024-05-10 07:22:51
register_arrival_tr49_Pcp330;2024-05-10 07:27:19
register_arrival_tr30_Pcp454;2024-05-10 07:28:42
register_arrival_tr29_Pcp113;2024-05-10 07:34:02
register_arrival_tr20_Pcp171;2024-05-10 07:34:10
register_arrival_tr21_Pcp63;2024-05-10 07:41:37
register_arrival_tr46_Pcp309;2024-05-10 07:43:30
register_arrival_tr11_Pcp479;2024-05-10 07:47:37
register_arrival_tr33_Pcp360;2024-05-10 07:48:37
register_arrival_tr43_Pcp472;2024-05-10 07:49:27
register_arrival_tr19_Pcp20;2024-05-10 07:49:48
register_arrival_tr27_Pcp336;2024-05-10 07:50:08
register_arrival_tr18_Pcp207;2024-05-10 07:54:32
register_arrival_tr39_Pcp362;2024-05-10 08:00:51
register_arrival_tr31_Pcp484;2024-05-10 08:05:55
register_arrival_tr24_Pcp249;2024-05-10 08:09:11
register_arrival_tr37_Pcp253;2024-05-10 08:10:43
register_arrival_tr7_Pcp168;2024-05-10 08:11:11
register_arrival_tr42_Pcp23;2024-05-10 08:12:35
register_arrival_tr45_Pcp102;2024-05-10 08:13:08
register_arrival_tr15_Pcp96;2024-05-10 08:16:58
register_arrival_tr38_Pcp86;2024-05-10 08:17:49
register_arrival_tr25_Pcp407;2024-05-10 08:19:59
register_arrival_tr8_Pcp221;2024-05-10 08:29:29
register_arrival_tr6_Pcp336;2024-05-10 08:30:32
register_arrival_tr17_Pcp305;2024-05-10 08:31:47
register_arrival_tr32_Pcp64;2024-05-10 08:32:02
register_arrival_tr1_Pcp207;2024-05-10 08:33:09
register_arrival_tr14_Pcp197;2024-05-10 09:06:05
register_arrival_tr16_Pcp163;2024-05-10 09:08:58
register_arrival_tr5_Pcp334;2024-05-10 09:17:44
register_arrival_tr28_Pcp155;2024-05-10 09:51:13
register_arrival_tr9_Pcp431;2024-05-10 09:55:12
register_arrival_tr48_Pcp95;2024-05-10 13:40:04
register_arrival_tr34_Pcp311;2024-05-10 13:54:22
register_arrival_tr2_Pcp397;2024-05-10 14:15:46
register_arrival_tr12_Pcp104;2024-05-10 14:16:28
register_arrival_tr50_Pcp48;2024-05-10 14:18:23
register_arrival_tr41_Pcp49;2024-05-10 14:32:21
register_arrival_tr13_Pcp490;2024-05-10 15:20:41
register_arrival_tr47_Pcp430;2024-05-10 15:34:28
register_arrival_tr36_Pcp369;2024-05-10 15:54:48
register_arrival_tr22_Pcp330;2024-05-10 15:59:02
register_arrival_tr3_Pcp270;2024-05-10 16:18:42
register_arrival_tr10_Pcp116;2024-05-12 06:42:50
register_arrival_tr35_Pcp342;2024-05-12 08:12:53
register_arrival_tr20_Pcp103;2024-05-12 08:22:34
register_arrival_tr21_Pcp310;2024-05-12 08:34:04
register_arrival_tr11_Pcp397;2024-05-12 08:38:44
