ocel_id;ocel_type
tr24;Truck
Cr16;Cargo
Cr4;Cargo
tr10;Truck
tr4;Truck
tr14;Truck
tr28;Truck
tr50;Truck
Cr19;Cargo
tr32;Truck
tr35;Truck
tr41;Truck
tr43;Truck
tr27;Truck
tr11;Truck
tr20;Truck
tr44;Truck
tr34;Truck
tr25;Truck
tr5;Truck
tr3;Truck
Cr15;Cargo
Cr11;Cargo
tr17;Truck
tr12;Truck
tr29;Truck
Cr13;Cargo
tr46;Truck
tr33;Truck
tr37;Truck
tr23;Truck
tr49;Truck
tr16;Truck
Cr1;Cargo
tr15;Truck
tr40;Truck
tr18;Truck
Cr9;Cargo
tr1;Truck
tr7;Truck
Cr3;Cargo
Cr2;Cargo
tr39;Truck
Cr7;Cargo
tr22;Truck
tr38;Truck
Cr5;Cargo
tr21;Truck
Cr10;Cargo
tr36;Truck
tr26;Truck
tr45;Truck
tr9;Truck
Cr17;Cargo
tr47;Truck
tr13;Truck
tr30;Truck
tr2;Truck
Cr20;Cargo
tr19;Truck
Cr18;Cargo
Cr14;Cargo
tr8;Truck
Cr8;Cargo
Cr12;Cargo
Silo20;Silo
Silo5;Silo
tr48;Truck
tr31;Truck
Silo2;Silo
Cr6;Cargo
Silo14;Silo
Silo19;Silo
Silo1;Silo
Silo16;Silo
tr6;Truck
Silo12;Silo
Silo6;Silo
Silo4;Silo
Silo13;Silo
Silo15;Silo
tr42;Truck
Silo8;Silo
Silo10;Silo
Silo11;Silo
Silo7;Silo
Silo17;Silo
Silo9;Silo
Silo3;Silo
Silo18;Silo
Pcp497;Pickup Plan
Pcp465;Pickup Plan
Pcp156;Pickup Plan
Pcp12;Pickup Plan
Pcp385;Pickup Plan
Pcp395;Pickup Plan
Pcp46;Pickup Plan
Pcp110;Pickup Plan
Pcp407;Pickup Plan
Pcp9;Pickup Plan
Pcp95;Pickup Plan
Pcp107;Pickup Plan
Pcp89;Pickup Plan
Pcp41;Pickup Plan
Pcp294;Pickup Plan
Pcp483;Pickup Plan
Pcp69;Pickup Plan
Pcp324;Pickup Plan
Pcp119;Pickup Plan
Pcp320;Pickup Plan
Pcp291;Pickup Plan
Pcp490;Pickup Plan
Pcp100;Pickup Plan
Pcp116;Pickup Plan
Pcp134;Pickup Plan
Pcp391;Pickup Plan
Pcp360;Pickup Plan
Pcp245;Pickup Plan
Pcp106;Pickup Plan
Pcp219;Pickup Plan
Pcp268;Pickup Plan
Pcp130;Pickup Plan
Pcp159;Pickup Plan
Pcp145;Pickup Plan
Pcp454;Pickup Plan
Pcp434;Pickup Plan
Pcp208;Pickup Plan
Pcp105;Pickup Plan
Pcp290;Pickup Plan
Pcp296;Pickup Plan
Pcp161;Pickup Plan
Pcp240;Pickup Plan
Pcp415;Pickup Plan
Pcp270;Pickup Plan
Pcp170;Pickup Plan
Pcp226;Pickup Plan
Pcp103;Pickup Plan
Pcp4;Pickup Plan
Pcp73;Pickup Plan
Pcp14;Pickup Plan
Pcp396;Pickup Plan
Pcp451;Pickup Plan
Pcp126;Pickup Plan
Pcp365;Pickup Plan
Pcp151;Pickup Plan
Pcp35;Pickup Plan
Pcp85;Pickup Plan
Pcp258;Pickup Plan
Pcp7;Pickup Plan
Pcp76;Pickup Plan
Pcp284;Pickup Plan
Pcp48;Pickup Plan
Pcp433;Pickup Plan
Pcp155;Pickup Plan
Pcp403;Pickup Plan
Pcp88;Pickup Plan
Pcp436;Pickup Plan
Pcp158;Pickup Plan
Pcp93;Pickup Plan
Pcp468;Pickup Plan
Pcp249;Pickup Plan
Pcp56;Pickup Plan
Pcp306;Pickup Plan
Pcp70;Pickup Plan
Pcp217;Pickup Plan
Pcp185;Pickup Plan
Pcp466;Pickup Plan
Pcp369;Pickup Plan
Pcp379;Pickup Plan
Pcp1;Pickup Plan
Pcp253;Pickup Plan
Pcp82;Pickup Plan
Pcp342;Pickup Plan
Pcp338;Pickup Plan
Pcp209;Pickup Plan
Pcp498;Pickup Plan
Pcp168;Pickup Plan
Pcp459;Pickup Plan
Pcp211;Pickup Plan
Pcp343;Pickup Plan
Pcp404;Pickup Plan
Pcp419;Pickup Plan
Pcp346;Pickup Plan
Pcp36;Pickup Plan
Pcp330;Pickup Plan
Pcp220;Pickup Plan
Pcp464;Pickup Plan
Pcp34;Pickup Plan
Pcp146;Pickup Plan
Pcp339;Pickup Plan
Pcp487;Pickup Plan
Pcp374;Pickup Plan
Pcp438;Pickup Plan
Pcp99;Pickup Plan
Pcp367;Pickup Plan
Pcp228;Pickup Plan
Pcp205;Pickup Plan
Pcp166;Pickup Plan
Pcp311;Pickup Plan
Pcp174;Pickup Plan
Pcp77;Pickup Plan
Pcp431;Pickup Plan
Pcp495;Pickup Plan
Pcp450;Pickup Plan
Pcp38;Pickup Plan
Pcp198;Pickup Plan
Pcp469;Pickup Plan
Pcp190;Pickup Plan
Pcp440;Pickup Plan
Pcp214;Pickup Plan
Pcp224;Pickup Plan
Pcp443;Pickup Plan
Pcp22;Pickup Plan
Pcp252;Pickup Plan
Pcp279;Pickup Plan
Pcp482;Pickup Plan
Pcp460;Pickup Plan
Pcp221;Pickup Plan
Pcp162;Pickup Plan
Pcp287;Pickup Plan
Pcp421;Pickup Plan
Pcp117;Pickup Plan
Pcp182;Pickup Plan
Pcp234;Pickup Plan
Pcp389;Pickup Plan
Pcp186;Pickup Plan
Pcp124;Pickup Plan
Pcp447;Pickup Plan
Pcp410;Pickup Plan
Pcp177;Pickup Plan
Pcp428;Pickup Plan
Pcp94;Pickup Plan
Pcp271;Pickup Plan
Pcp248;Pickup Plan
Pcp411;Pickup Plan
Pcp196;Pickup Plan
Pcp479;Pickup Plan
Pcp281;Pickup Plan
Pcp121;Pickup Plan
Pcp81;Pickup Plan
Pcp197;Pickup Plan
Pcp223;Pickup Plan
Pcp230;Pickup Plan
Pcp314;Pickup Plan
Pcp414;Pickup Plan
Pcp397;Pickup Plan
Pcp72;Pickup Plan
Pcp427;Pickup Plan
Pcp327;Pickup Plan
Pcp169;Pickup Plan
Pcp128;Pickup Plan
Pcp20;Pickup Plan
Pcp430;Pickup Plan
Pcp452;Pickup Plan
Pcp341;Pickup Plan
Pcp354;Pickup Plan
Pcp467;Pickup Plan
Pcp23;Pickup Plan
Pcp179;Pickup Plan
Pcp432;Pickup Plan
Pcp213;Pickup Plan
Pcp64;Pickup Plan
Pcp423;Pickup Plan
Pcp293;Pickup Plan
Pcp171;Pickup Plan
Pcp207;Pickup Plan
Pcp470;Pickup Plan
Pcp74;Pickup Plan
Pcp113;Pickup Plan
Pcp476;Pickup Plan
Pcp285;Pickup Plan
Pcp275;Pickup Plan
Pcp336;Pickup Plan
Pcp104;Pickup Plan
Pcp334;Pickup Plan
Pcp153;Pickup Plan
Pcp363;Pickup Plan
Pcp204;Pickup Plan
Pcp383;Pickup Plan
Pcp398;Pickup Plan
Pcp194;Pickup Plan
Pcp202;Pickup Plan
Pcp370;Pickup Plan
Pcp49;Pickup Plan
Pcp435;Pickup Plan
Pcp163;Pickup Plan
Pcp303;Pickup Plan
Pcp263;Pickup Plan
Pcp388;Pickup Plan
Pcp362;Pickup Plan
Pcp456;Pickup Plan
Pcp309;Pickup Plan
Pcp193;Pickup Plan
Pcp478;Pickup Plan
Pcp408;Pickup Plan
Pcp45;Pickup Plan
Pcp141;Pickup Plan
Pcp102;Pickup Plan
Pcp473;Pickup Plan
Pcp382;Pickup Plan
Pcp380;Pickup Plan
Pcp86;Pickup Plan
Pcp236;Pickup Plan
Pcp237;Pickup Plan
Pcp484;Pickup Plan
Pcp344;Pickup Plan
Pcp175;Pickup Plan
Pcp260;Pickup Plan
Pcp485;Pickup Plan
Pcp142;Pickup Plan
Pcp63;Pickup Plan
Pcp172;Pickup Plan
Pcp453;Pickup Plan
Pcp472;Pickup Plan
Pcp138;Pickup Plan
Pcp96;Pickup Plan
Pcp413;Pickup Plan
Pcp457;Pickup Plan
Pcp187;Pickup Plan
Pcp305;Pickup Plan
Pcp257;Pickup Plan
Pcp276;Pickup Plan
Pcp315;Pickup Plan
Pcp131;Pickup Plan
Pcp280;Pickup Plan
Pcp345;Pickup Plan
Pcp25;Pickup Plan
Pcp24;Pickup Plan
Pcp348;Pickup Plan
Pcp310;Pickup Plan
Pcp355;Pickup Plan
Pcp43;Pickup Plan
Pcp152;Pickup Plan
Pcp66;Pickup Plan
Pcp297;Pickup Plan
Pcp425;Pickup Plan
Pcp192;Pickup Plan
Pcp429;Pickup Plan
Pcp250;Pickup Plan
Pcp50;Pickup Plan
Pcp394;Pickup Plan
Pcp331;Pickup Plan
Pcp361;Pickup Plan
Pcp295;Pickup Plan
Pcp349;Pickup Plan
Pcp329;Pickup Plan
Pcp195;Pickup Plan
Pcp442;Pickup Plan
Pcp59;Pickup Plan
Pcp139;Pickup Plan
Pcp319;Pickup Plan
Pcp424;Pickup Plan
Pcp488;Pickup Plan
Pcp439;Pickup Plan
Pcp218;Pickup Plan
Pcp10;Pickup Plan
Pcp267;Pickup Plan
Pcp417;Pickup Plan
Pcp235;Pickup Plan
