ocel_id;ocel_time;ocel_changed_field;Cargo ID;Num of trucks;Total pickup weight
Pcp497;2024-04-29 07:25:58;;Cr14;2;10013.4
Pcp465;2024-04-29 07:28:42;;Cr18;2;11782.7
Pcp156;2024-04-29 07:40:59;;Cr3;2;11348.3
Pcp12;2024-04-29 07:52:01;;Cr4;2;11443.8
Pcp385;2024-04-29 08:07:09;;Cr7;2;10694.3
Pcp395;2024-04-29 10:38:08;;Cr20;2;10194.2
Pcp46;2024-04-29 10:47:30;;Cr15;2;10623.8
Pcp110;2024-04-29 11:48:38;;Cr5;2;10817.3
Pcp407;2024-04-29 12:17:02;;Cr19;2;10597.4
Pcp9;2024-04-29 13:29:01;;Cr13;2;11348.4
Pcp95;2024-04-29 14:06:17;;Cr17;2;10259.1
Pcp107;2024-04-29 15:43:18;;Cr12;2;11813.1
Pcp89;2024-04-29 16:12:43;;Cr16;2;10691.7
Pcp41;2024-04-29 16:21:08;;Cr18;2;11288.4
Pcp294;2024-04-29 16:27:40;;Cr2;2;10640.4
Pcp483;2024-04-29 18:29:34;;Cr1;2;10458.1
Pcp69;2024-04-29 18:51:26;;Cr7;2;10579.9
Pcp324;2024-04-29 19:40:03;;Cr8;2;10708.5
Pcp119;2024-04-29 19:57:07;;Cr5;2;11099.6
Pcp320;2024-04-29 21:10:53;;Cr6;2;10769.7
Pcp291;2024-04-29 21:52:45;;Cr19;2;10118.5
Pcp490;2024-04-29 22:21:28;;Cr20;2;11281.0
Pcp100;2024-04-29 22:28:49;;Cr17;2;10775.8
Pcp116;2024-04-29 23:22:43;;Cr13;2;11492.3
Pcp134;2024-04-30 01:08:56;;Cr4;2;10552.8
Pcp391;2024-04-30 01:39:10;;Cr18;2;10223.4
Pcp360;2024-04-30 02:49:45;;Cr3;2;10330.8
Pcp245;2024-04-30 02:51:03;;Cr7;2;11371.0
Pcp106;2024-04-30 03:13:00;;Cr9;2;11915.5
Pcp219;2024-04-30 04:16:43;;Cr11;2;10940.2
Pcp268;2024-04-30 04:49:09;;Cr10;2;10927.3
Pcp130;2024-04-30 07:09:09;;Cr1;2;11036.6
Pcp159;2024-04-30 07:39:04;;Cr13;2;11625.3
Pcp145;2024-04-30 08:05:22;;Cr16;2;11782.7
